,names,ratings,cost,dish,deliveryin_min,order
313,Toppings Town Pizza,3.4,₹200 for one,"Pizza, Fast Food",43 min,4950+ orders placed from here recently
314,Orange Bake And Juice,4.1,₹200 for one,"Bakery, Desserts",30 min,1100+ orders placed from here recently
315,Krishna Vaibhava,4.0,₹50 for one,"Street Food, North Indian, South Indian, Sichuan, Chinese, Ice Cream, Beverages",41 min,175+ orders placed from here recently
316,RJ 14 Kitchen,3.3,₹50 for one,"Rajasthani, North Indian",49 min,275+ orders placed from here recently
317,The Pulkawala,3.6,₹50 for one,"Street Food, North Indian",42 min,550+ orders placed from here recently
318,Iyengar Amma Pastries,3.9,₹50 for one,"Bakery, Mithai",38 min,300+ orders placed from here recently
319,Raghavendra Tiffin,4.2,₹100 for one,South Indian,19 min,2375+ orders placed from here recently
320,Big Mishra Pedha,4.2,₹100 for one,"Sandwich, Street Food, Mithai",37 min,800+ orders placed from here recently
321,Hotel Nandhin,4.3,₹100 for one,"Andhra, North Indian, Chinese, Biryani, Beverages",53 min,350+ orders placed from here recently
322,Mysore Military Hotel,4.0,₹100 for one,"Biryani, Andhra",30 min,450+ orders placed from here recently
323,EkDum Donne Biryani,4.3,₹350 for one,"Biryani, Kebab",42 min,2150+ orders placed from here recently
324,Biryani Leaf,3.9,₹350 for one,"Biryani, Chinese, North Indian",35 min,225+ orders placed from here recently
325,Swad 'E' Punjab,3.4,₹350 for one,"North Indian, Chinese, Fast Food, Italian, Beverages, Sichuan",51 min,325+ orders placed from here recently
326,Lama’s Cafe,3.8,₹350 for one,"Nepalese, Tibetan, Momos, Beverages",26 min,700+ orders placed from here recently
327,Bearful,3.7,₹300 for one,"North Indian, Mughlai, Continental, Chinese, Biryani, Kebab, Desserts, Beverages",46 min,1075+ orders placed from here recently
328,Khan Saheb Grills And Rolls,3.8,₹300 for one,"Rolls, North Indian, Mughlai",26 min,1100+ orders placed from here recently
329,La Roi,4.1,₹300 for one,"Cafe, Bakery, Desserts, Italian",24 min,875+ orders placed from here recently
330,The Coorg Food Co.,4.3,₹300 for one,South Indian,40 min,700+ orders placed from here recently
331,Zubaan,3.6,₹200 for one,"Arabian, Turkish, Lebanese, Healthy Food",40 min,375+ orders placed from here recently
332,Abhiruchi Restaurant,3.8,₹200 for one,"Andhra, Biryani, North Indian, Chinese",35 min,350+ orders placed from here recently
333,Knight Bite,3.6,₹200 for one,"Burger, Chinese, Fast Food, Desserts, Beverages",49 min,300+ orders placed from here recently
334,Namaste India,3.6,₹200 for one,North Indian,34 min,400+ orders placed from here recently
335,Roti Curry & Co,3.5,₹300 for one,North Indian,51 min,100+ orders placed from here recently
336,DVG Benne Dosa,3.9,₹300 for one,"South Indian, Street Food",41 min,825+ orders placed from here recently
337,Udupi Gokula,3.5,₹300 for one,"North Indian, Chinese, South Indian, Beverages, Shake",29 min,675+ orders placed from here recently
338,O2 Juice Bar,4.1,₹300 for one,"Juices, Beverages, Healthy Food, Desserts",22 min,Restaurant partner follows WHO protocol
339,Sri Sai Rotti Mane,3.7,₹150 for one,South Indian,46 min,300+ orders placed from here recently
340,Travancore Kitchen,4.1,₹150 for one,"Kerala, South Indian, Biryani",44 min,1625+ orders placed from here recently
341,Vijay Masth Biriyani House,3.7,₹150 for one,"Biryani, Chinese, Sichuan",33 min,125+ orders placed from here recently
342,Seven 2 Eleven Resto Cafe,4.3,₹150 for one,"North Indian, South Indian, Chinese",52 min,575+ orders placed from here recently
343,Sri Rajasthani Foods,3.3,₹150 for one,"North Indian, Chinese, Rajasthani, Desserts, Beverages",26 min,100+ orders placed from here recently
344,Momo Ninja,3.4,₹150 for one,"Momos, Chinese, Fast Food, Sandwich, Beverages",49 min,75+ orders placed from here recently
345,Mugs N Burgers,3.4,₹150 for one,"Fast Food, Chinese, Italian, Desserts, Beverages, Burger, Shake",45 min,225+ orders placed from here recently
